POST_C;PLANT_C;INDUS_TYPE;CAI;LPC;CGL_C;YEAR_MONTH;PROD_QT;CREATION_DT;UPDATE_DT;MATERIAL_C
KM;NYH;MC;560546;A;K560546A005;201506;1876;05/11/2020 10:49;;ML_B
KM;CNO;MI;557842;R;R557842R007;201406;5;05/11/2020 10:49;;ML_B
KM;CNO;MC;557842;A;K557842A014;201605;2755;05/11/2020 10:49;;ML_B
KM;CNO;MC;557842;A;K557842A010;201507;3317;05/11/2020 10:49;;ML_B
KM;VLD;MC;154255;A;K154255A012;201712;5744;05/11/2020 10:49;;ML_D
KM;NYH;MC;440708;B;K440708B006;201508;2475;05/11/2020 10:49;;ML_A
KM;VIT;MC;440735;R;K440735R017;201311;2379;05/11/2020 10:49;;ML_B
KM;VIT;MC;440735;R;K440735R022;201411;306;05/11/2020 10:49;;ML_B
KM;VIT;MC;440735;R;K440735R030;201505;20133;05/11/2020 10:49;;ML_B
KM;VIT;MC;440735;R;K440735R027;201502;6461;05/11/2020 10:49;;ML_B
KM;NYH;MC;525495;A;K525495A034;201601;336;05/11/2020 10:49;;ML_A
KM;NYH;MC;525495;A;K525495A001;201305;4890;05/11/2020 10:49;;ML_A
KM;NYH;MC;525495;A;K525495A013;201410;4440;05/11/2020 10:49;;ML_A
KM;NYH;MC;525495;A;K525495A021;201503;1124;05/11/2020 10:49;;ML_A
KM;UFR;MC;542075;A;K542075A004;201311;2761;05/11/2020 10:49;;ML_A
KM;NYH;MC;619296;R;K619296R009;201304;33;05/11/2020 10:49;;ML_B
KM;NYH;MC;619296;R;K619296R008;201303;1092;05/11/2020 10:49;;ML_B
KM;VLD;MC;619296;A;K619296A006;201310;4153;05/11/2020 10:49;;ML_B
KM;VLD;MC;619296;A;K619296A005;201310;6765;05/11/2020 10:49;;ML_B
KM;VLD;EL;619296;B;E417666AC01;201505;99;05/11/2020 10:49;;ML_A
KM;CNO;EL;646453;A;E429049K002;201712;40;05/11/2020 10:49;;ML_C
KM;NYH;MC;710421;B;K710421B024;201511;684;05/11/2020 10:49;;ML_B
KM;NYH;MC;710421;B;K710421B017;201404;1938;05/11/2020 10:49;;ML_B
KM;NYH;MC;710421;D;K710421D011;201603;1682;05/11/2020 10:49;;ML_B
KM;NYH;MC;710421;D;K710421D003;201409;4188;05/11/2020 10:49;;ML_B
KM;NYH;MC;710421;D;K710421D002;201406;748;05/11/2020 10:49;;ML_B
KM2;OLS;MC;860554;L;K860554L005;202301;144;04/02/2023 22:56;25/02/2023 23:16;ML_C
KM;NYH;MC;290666;A;K290666A017;202302;451;04/02/2023 22:56;04/03/2023 23:12;ML_E
KM;UFR;MC;720221;R;K720221R001;201310;2154;05/11/2020 10:49;;ML_B
KM;CNO;MC;557842;A;K557842A004;201309;4042;05/11/2020 10:49;;ML_B
KM;NYH;EL;573500;A;E602468B003;202302;0;04/02/2023 22:56;04/03/2023 23:12;ML_D
KM;NYH;MI;698412;A;R698412A010;201503;969;05/11/2020 10:49;;ML_A
KM;NYH;MI;698412;A;R698412A021;201509;454;05/11/2020 10:49;;ML_A
KM;NYH;MC;698412;A;K698412A005;201602;2658;05/11/2020 10:49;;ML_A
KM;BBG;MC;752923;B;K752923B005;201406;6370;05/11/2020 10:49;;ML_B
KM;BBG;MC;752923;B;K752923B009;201502;714;05/11/2020 10:49;;ML_B
KM;BBG;MC;752923;B;K752923B005;201407;6146;05/11/2020 10:49;;ML_B
KM;BBG;MC;752923;E;K752923E014;201511;2847;05/11/2020 10:49;;ML_B
KM;VLD;MC;752923;D;K752923D005;201305;8533;05/11/2020 10:49;;ML_B
KM;VLD;MC;752923;E;K752923E002;201310;16;05/11/2020 10:49;;ML_B
KM;VLD;MI;752923;D;R752923D002;201305;10;05/11/2020 10:49;;ML_B
KM A;UFR;MC;835325;S;K835325S002;201603;7147;05/11/2020 10:49;;ML_B
KM;UFR;MC;835325;S;K835325S002;201603;7147;05/11/2020 10:49;;ML_B
KM;NYH;MC;819749;B;K819749B008;201304;5136;05/11/2020 10:49;;ML_B
KM;CNO;MC;815743;R;K815743R010;201605;4569;05/11/2020 10:49;;ML_B
KM;NYH;MC;834367;B;K834367B002;201306;986;05/11/2020 10:49;;ML_B
KM;NYH;MC;834367;B;K834367B005;201411;2148;05/11/2020 10:49;;ML_B
KM;BBG;MC;930249;R;K930249R032;201601;1782;05/11/2020 10:49;;ML_B
KM;BBG;MC;909450;D;K909450D013;201302;4430;05/11/2020 10:49;;ML_B
KM;BBG;MC;909450;D;K909450D013;201303;2837;05/11/2020 10:49;;ML_B
KM;BBG;MC;909450;D;K909450D014;201311;21;05/11/2020 10:49;;ML_B
KM;BBG;MC;909450;D;K909450D014;201307;8326;05/11/2020 10:49;;ML_B
KM;CNO;MC;942166;B;K942166B011;201406;2891;05/11/2020 10:49;;ML_A
KM;CNO;MC;942166;B;K942166B022;201606;4252;05/11/2020 10:49;;ML_A
KM;UFR;MC;960013;R;K960013R023;201409;16136;05/11/2020 10:49;;ML_B
KM;UFR;MC;960013;R;K960013R016;201307;8889;05/11/2020 10:49;;ML_B
KM;UFR;MC;960013;R;K960013R021;201404;2583;05/11/2020 10:49;;ML_B
KM;NYH;MC;817080;A;K817080A002;201503;2459;05/11/2020 10:49;;ML_B
KM;NYH;MC;817080;A;K817080A007;201605;17;05/11/2020 10:49;;ML_B
KM;NYH;MC;819749;B;K819749B004;201301;1673;05/11/2020 10:49;;ML_B
KM;NYH;MC;819749;B;K819749B005;201304;236;05/11/2020 10:49;;ML_B
KM;VLD;MC;819749;C;K819749C007;201504;5162;05/11/2020 10:49;;ML_B
KM;VLD;MC;819749;C;K819749C006;201504;1405;05/11/2020 10:49;;ML_B
KM;VLD;EL;819749;-;E408295C001;201302;14;05/11/2020 10:49;;ML_B
KM;CHO;MC;216561;A;K216561A004;201801;3978;05/11/2020 10:49;;ML_C
KM;DVY;MC;997724;R;K997724R001;201711;2354;05/11/2020 10:49;;ML_C
KM;CNO;MC;694822;S;K694822S003;201711;0;05/11/2020 10:49;;ML_D
KM A;UFR;MC;169622;A;K169622A029;201709;332;05/11/2020 10:49;;ML_B
KM;UFR;MC;169622;A;K169622A029;201709;332;05/11/2020 10:49;;ML_B
KM;VLD;EL;433989;A;E602455AA05;202302;5;04/02/2023 22:56;04/03/2023 23:12;ML_D
KM2;CNO;MC;629881;D;K629881D006;202301;183;04/02/2023 22:56;25/02/2023 23:16;ML_C
KM2;OLS;MC;860554;L;K860554L004;202302;900;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM;NYH;MC;290666;A;K290666A017;202301;234;04/02/2023 22:56;25/02/2023 23:16;ML_E
KM;CNO;MC;221421;A;K221421A002;202302;10098;04/02/2023 22:56;04/03/2023 23:12;ML_D
KM2;VLD;MC;926063;D;K926063D012;202302;2057;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM;SWT;;860138;J;K860138J002;202302;351;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM;BBG;MI;959629;R;R959629R005;201707;31;05/11/2020 10:49;;ML_C
KM;BBG;MC;516105;A;K516105A004;201708;0;05/11/2020 10:49;;ML_D
KM;CNO;MC;607946;A;K607946A006;201710;297;05/11/2020 10:49;;ML_D
KM;NYH;MC;698412;C;K698412C006;201707;2799;05/11/2020 10:49;;ML_A
KM;VIT;EL;90811;A;E408971CA04;201708;0;05/11/2020 10:49;;ML_C
KM;CNO;MC;777386;A;K777386A005;201801;0;05/11/2020 10:49;;ML_C
KM;CNO;MC;694822;S;K694822S003;201709;1364;05/11/2020 10:49;;ML_D
KM;CNO;MC;380566;A;K380566A027;201707;10261;05/11/2020 10:49;;ML_D
KM;TC2;MI;973953;Y;R973953A004;201708;23;05/11/2020 10:49;;ML_D
KM;NYH;MC;260192;B;K260192B050;201706;0;05/11/2020 10:49;;ML_A
KM;VIT;MC;317320;A;K317320A001;201707;2283;05/11/2020 10:49;;ML_D
KM;VLD;MI;215021;R;R215021R004;201706;39;05/11/2020 10:49;;ML_C
KM;BKR;EL;146197;A;E408952H003;201708;53;05/11/2020 10:49;;ML_C
KM;BKR;MC;152292;A;K152292A001;201711;5162;05/11/2020 10:49;;ML_C
KM;TC2;EL;424578;I;E408963IA02;201709;65;05/11/2020 10:49;;ML_D
KM;BKR;MC;179411;A;K179411A004;201708;1206;05/11/2020 10:49;;ML_D
KM;CNO;MC;468760;A;K468760A003;201801;0;05/11/2020 10:49;;ML_C
KM;VLD;;34424;B;K034424B021;201706;7915;05/11/2020 10:49;;ML_B
KM;VIT;MC;177160;A;K177160A003;201707;684;05/11/2020 10:49;;ML_D
KM;VLD;MC;334094;A;K334094A006;201708;483;05/11/2020 10:49;;ML_D
KM;VLD;MI;903727;R;R903727R004;201708;9;05/11/2020 10:49;;ML_C
KM;NYH;MC;260192;B;K260192B049;201706;0;05/11/2020 10:49;;ML_A
KM;NYH;EL;111997;B;E429055B001;201706;20;05/11/2020 10:49;;ML_A
KM;BKR;MC;786593;A;K786593A003;201705;0;05/11/2020 10:49;;ML_D
KM;VIT;MC;275683;A;K275683A002;201710;0;05/11/2020 10:49;;ML_D
KM;VLD;EL;866988;A;E408863BP01;201710;75;05/11/2020 10:49;;ML_C
KM;VIT;MC;365297;R;K365297R001;201712;6885;05/11/2020 10:49;;ML_C
KM;VLD;MC;144866;S;K144866S004;201707;1635;05/11/2020 10:49;;ML_D
KM;CHO;MC;100706;A;K100706A005;201802;2629;05/11/2020 10:49;;ML_C
KM;VLD;MC;260192;C;K260192C013;201608;7133;05/11/2020 10:49;;ML_B
KM;VIT;MC;1633;A;K001633A007;201712;3252;05/11/2020 10:49;;ML_C
KM;VIT;EL;959429;A;E429092DA01;201710;28;05/11/2020 10:49;;ML_C
KM;CHO;MC;380432;A;K380432A008;201710;0;05/11/2020 10:49;;ML_D
KM;VIT;MC;819493;R;K819493R002;201712;0;05/11/2020 10:49;;ML_C
KM;NYH;MC;111997;B;K111997B052;201704;33;05/11/2020 10:49;;ML_A
KM;VIT;EL;421991;A;E408906HN03;201711;10;05/11/2020 10:49;;ML_C
KM;VIT;EL;959429;A;E429092BA01;201710;0;05/11/2020 10:49;;ML_C
KM;OLS;MI;916421;B;R916421B002;201706;0;05/11/2020 10:49;;ML_D
KM;VIT;EL;421991;A;E408906HJ01;201708;0;05/11/2020 10:49;;ML_C
KM;BBG;MI;189394;R;R189394R003;201709;10;05/11/2020 10:49;;ML_C
KM;NYH;MC;777723;A;K777723A012;201702;0;05/11/2020 10:49;;ML_A
KM;VLD;MC;154255;A;K154255A011;201711;13889;05/11/2020 10:49;;ML_D
KM;VLD;MC;619296;B;K619296B010;201708;1610;05/11/2020 10:49;;ML_A
KM;VIT;MC;331863;A;K331863A005;201710;0;05/11/2020 10:49;;ML_D
KM;BKR;MC;194560;A;K194560A006;201801;1406;05/11/2020 10:49;;ML_C
KM;BKR;MC;786593;T;K786593T001;201801;0;05/11/2020 10:49;;ML_D
KM;VLD;MI;903727;R;R903727R015;201712;28;05/11/2020 10:49;;ML_C
KM;BKR;MC;344357;A;K344357A003;201801;4915;05/11/2020 10:49;;ML_C
KM;BKR;MC;248424;A;K248424A003;201801;94;05/11/2020 10:49;;ML_D
KM;BKR;MC;786593;A;K786593A012;201801;2560;05/11/2020 10:49;;ML_D
KM;BBG;MC;238221;R;K238221R001;201712;3430;05/11/2020 10:49;;ML_C
KM;NYH;MC;111997;B;K111997B051;201707;0;05/11/2020 10:49;;ML_A
KM;BKR;MC;152292;A;K152292A002;201802;1791;05/11/2020 10:49;;ML_C
KM;BKR;MC;452329;A;K452329A002;201802;7831;05/11/2020 10:49;;ML_C
KM;BKR;EL;139585;A;E429151C001;201802;49;05/11/2020 10:49;;ML_C
KM;BKR;MI;939928;T;R939928T002;201707;8;05/11/2020 10:49;;ML_C
KM;BBG;MC;236965;A;K236965A003;201802;3877;05/11/2020 10:49;;ML_D
KM;TC2;MI;762428;A;R762428A001;201708;0;05/11/2020 10:49;;ML_D
KM;BBG;MI;216561;T;R216561T005;201801;10;05/11/2020 10:49;;ML_C
KM;OLS;MI;494228;R;R494228R004;201710;27;05/11/2020 10:49;;ML_C
KM;VLD;MC;144866;T;K144866T001;201712;0;05/11/2020 10:49;;ML_D
KM;CHO;MC;42087;A;K042087A003;201711;0;05/11/2020 10:49;;ML_D
KM;BKR;MC;285604;A;K285604A005;201711;3777;05/11/2020 10:49;;ML_D
KM;BBG;MC;236965;A;K236965A002;201709;1259;05/11/2020 10:49;;ML_D
KM;VLD;MC;112781;A;K112781A015;201610;2314;05/11/2020 10:49;;ML_B
KM;NYH;MC;111997;B;K111997B053;201706;0;05/11/2020 10:49;;ML_A
KM;NYH;MC;560546;A;K560546A010;201706;0;05/11/2020 10:49;;ML_B
KM;NYH;;693417;A;K693417A009;201704;1137;05/11/2020 10:49;;ML_A
KM;VIT;MC;959429;A;K959429A001;201801;61;05/11/2020 10:49;;ML_C
KM;VIT;MC;370933;A;K370933A013;201711;8018;05/11/2020 10:49;;ML_D
KM;VIT;MC;1633;A;K001633A005;201712;404;05/11/2020 10:49;;ML_C
